Order_ID,Dark_Store_ID,City,Zone,Order_Date,Order_Timestamp,Order_Hour,Day_Type,Time_Period,Promised_SLA_Min,Actual_Delivery_Min,SLA_Met,Delay_Reason,Distance_KM,Item_Count,Order_Value_INR,Rider_ID,Delay_Category
FM100068,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 00:45:48,0,Weekend,Non-Peak,10.0,4.32,Y,None,1.83,5,497.2,R00118,None
FM102864,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 00:50:27,0,Weekend,Non-Peak,10.0,5.69,Y,None,0.46,1,872.24,R01015,None
FM102664,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 00:51:21,0,Weekend,Non-Peak,10.0,5.38,Y,None,2.17,3,350.74,R00915,None
FM100379,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 00:51:39,0,Weekend,Non-Peak,10.0,5.68,Y,None,1.23,3,520.31,R00202,None
FM102392,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 00:51:44,0,Weekend,Non-Peak,10.0,10.36,N,Handheld Scanner Downtime,0.41,6,558.58,R00817,Machine
FM101733,DS006,Mumbai,Powai,2025-06-01,2025-06-01 00:53:08,0,Weekend,Non-Peak,10.0,7.22,Y,None,3.39,2,323.07,R00602,None
FM100660,DS003,Delhi,Saket,2025-06-01,2025-06-01 00:54:55,0,Weekend,Non-Peak,10.0,5.24,Y,None,1.92,5,353.47,R00319,None
FM100499,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 00:57:16,0,Weekend,Non-Peak,10.0,7.75,Y,None,2.5,4,190.29,R00217,None
FM100772,DS003,Delhi,Saket,2025-06-01,2025-06-01 00:57:34,0,Weekend,Non-Peak,10.0,7.33,Y,None,2.57,4,886.36,R00317,None
FM102332,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 01:02:06,1,Weekend,Non-Peak,10.0,4.28,Y,None,2.78,2,466.74,R00814,None
FM100626,DS003,Delhi,Saket,2025-06-01,2025-06-01 01:04:16,1,Weekend,Non-Peak,10.0,5.1,Y,None,1.12,2,410.66,R00325,None
FM102625,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 01:13:19,1,Weekend,Non-Peak,10.0,5.27,Y,None,1.2,5,182.51,R00908,None
FM102719,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 01:13:23,1,Weekend,Non-Peak,10.0,7.19,Y,None,3.02,3,87.69,R01009,None
FM100343,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 01:15:41,1,Weekend,Non-Peak,10.0,3.5,Y,None,2.48,5,238.88,R00214,None
FM100344,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 01:15:58,1,Weekend,Non-Peak,10.0,3.5,Y,None,1.91,4,507.48,R00215,None
FM101105,DS004,Delhi,Rohini,2025-06-01,2025-06-01 01:17:02,1,Weekend,Non-Peak,10.0,8.45,Y,None,2.86,6,175.32,R00416,None
FM103008,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 01:20:57,1,Weekend,Non-Peak,10.0,4.14,Y,None,3.14,3,575.19,R01014,None
FM102819,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 01:23:28,1,Weekend,Non-Peak,10.0,5.72,Y,None,2.7,2,957.84,R01003,None
FM100520,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 01:35:00,1,Weekend,Non-Peak,10.0,6.26,Y,None,3.12,4,615.67,R00202,None
FM100331,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 01:42:06,1,Weekend,Non-Peak,10.0,6.9,Y,None,0.57,3,1116.75,R00215,None
FM102573,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 01:42:58,1,Weekend,Non-Peak,10.0,3.5,Y,None,1.68,7,580.32,R00905,None
FM100896,DS003,Delhi,Saket,2025-06-01,2025-06-01 01:43:34,1,Weekend,Non-Peak,10.0,7.45,Y,None,2.03,6,449.43,R00320,None
FM101906,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 01:43:41,1,Weekend,Non-Peak,10.0,4.13,Y,None,2.3,8,507.51,R00703,None
FM100667,DS003,Delhi,Saket,2025-06-01,2025-06-01 01:47:28,1,Weekend,Non-Peak,10.0,3.5,Y,None,1.46,2,135.79,R00319,None
FM101049,DS004,Delhi,Rohini,2025-06-01,2025-06-01 01:52:20,1,Weekend,Non-Peak,10.0,8.32,Y,None,2.08,3,1089.64,R00417,None
FM101399,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 01:57:09,1,Weekend,Non-Peak,10.0,5.89,Y,None,1.11,9,563.1,R00504,None
FM100313,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:00:51,7,Weekend,Non-Peak,10.0,4.92,Y,None,2.3,3,654.03,R00214,None
FM101153,DS004,Delhi,Rohini,2025-06-01,2025-06-01 07:01:02,7,Weekend,Non-Peak,10.0,3.5,Y,None,3.28,9,731.25,R00411,None
FM102437,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 07:02:01,7,Weekend,Non-Peak,10.0,7.26,Y,None,0.85,2,49.42,R00911,None
FM100555,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:03:07,7,Weekend,Non-Peak,10.0,5.92,Y,None,2.0,6,699.65,R00205,None
FM102741,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:03:46,7,Weekend,Non-Peak,10.0,3.5,Y,None,1.32,2,100.78,R01004,None
FM101802,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:05:06,7,Weekend,Non-Peak,10.0,3.86,Y,None,1.28,4,689.07,R00605,None
FM102334,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:06:06,7,Weekend,Non-Peak,10.0,8.52,Y,None,1.17,6,75.76,R00817,None
FM100515,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:06:39,7,Weekend,Non-Peak,10.0,7.98,Y,None,0.66,5,386.87,R00209,None
FM100897,DS003,Delhi,Saket,2025-06-01,2025-06-01 07:07:53,7,Weekend,Non-Peak,10.0,3.5,Y,None,1.84,2,581.03,R00302,None
FM100628,DS003,Delhi,Saket,2025-06-01,2025-06-01 07:09:01,7,Weekend,Non-Peak,10.0,5.88,Y,None,1.97,4,446.15,R00325,None
FM102035,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 07:11:37,7,Weekend,Non-Peak,10.0,9.25,Y,None,3.17,4,801.27,R00713,None
FM102754,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:11:48,7,Weekend,Non-Peak,10.0,3.5,Y,None,2.22,5,262.2,R01002,None
FM101470,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:12:11,7,Weekend,Non-Peak,10.0,7.54,Y,None,1.07,4,508.67,R00503,None
FM101595,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:12:21,7,Weekend,Non-Peak,10.0,4.8,Y,None,2.36,5,231.07,R00621,None
FM101030,DS004,Delhi,Rohini,2025-06-01,2025-06-01 07:13:01,7,Weekend,Non-Peak,10.0,4.87,Y,None,2.72,3,356.34,R00411,None
FM102849,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:14:13,7,Weekend,Non-Peak,10.0,8.03,Y,None,0.44,6,430.12,R01012,None
FM101818,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:15:01,7,Weekend,Non-Peak,10.0,10.95,N,"Incorrect Picking (SKU error, re-pick)",3.19,3,172.96,R00620,Method
FM102223,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:15:38,7,Weekend,Non-Peak,10.0,4.55,Y,None,2.92,4,206.84,R00802,None
FM100099,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 07:16:16,7,Weekend,Non-Peak,10.0,4.56,Y,None,1.51,1,247.6,R00119,None
FM101186,DS004,Delhi,Rohini,2025-06-01,2025-06-01 07:16:47,7,Weekend,Non-Peak,10.0,10.38,N,Packing Station Bottleneck,2.46,5,395.44,R00408,Method
FM101742,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:18:13,7,Weekend,Non-Peak,10.0,6.21,Y,None,1.65,2,301.88,R00602,None
FM102484,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 07:24:24,7,Weekend,Non-Peak,10.0,6.38,Y,None,1.44,4,754.87,R00905,None
FM101387,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:24:26,7,Weekend,Non-Peak,10.0,7.34,Y,None,2.95,3,1003.34,R00508,None
FM101422,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:27:05,7,Weekend,Non-Peak,10.0,17.49,N,Rider Unavailable at Dispatch,3.03,8,214.64,R00516,Man
FM102785,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:28:29,7,Weekend,Non-Peak,10.0,6.89,Y,None,2.98,5,786.7,R01004,None
FM102733,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:28:30,7,Weekend,Non-Peak,10.0,6.49,Y,None,0.86,2,250.43,R01012,None
FM102187,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:28:33,7,Weekend,Non-Peak,10.0,3.5,Y,None,1.24,5,23.34,R00815,None
FM100312,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:28:57,7,Weekend,Non-Peak,10.0,6.86,Y,None,3.17,3,491.26,R00203,None
FM102374,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:30:17,7,Weekend,Non-Peak,10.0,4.35,Y,None,1.77,2,570.67,R00805,None
FM102794,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 07:31:00,7,Weekend,Non-Peak,10.0,6.63,Y,None,1.94,4,276.99,R01003,None
FM100593,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:33:22,7,Weekend,Non-Peak,10.0,6.34,Y,None,1.13,4,212.68,R00201,None
FM101396,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:33:48,7,Weekend,Non-Peak,10.0,7.64,Y,None,2.42,1,321.43,R00513,None
FM102030,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 07:34:26,7,Weekend,Non-Peak,10.0,3.5,Y,None,0.67,6,466.17,R00703,None
FM100097,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 07:34:59,7,Weekend,Non-Peak,10.0,4.7,Y,None,1.5,3,856.36,R00120,None
FM101901,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 07:35:00,7,Weekend,Non-Peak,10.0,4.66,Y,None,1.02,4,560.46,R00711,None
FM101534,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:35:26,7,Weekend,Non-Peak,10.0,9.96,Y,None,1.43,3,288.68,R00507,None
FM100931,DS003,Delhi,Saket,2025-06-01,2025-06-01 07:38:26,7,Weekend,Non-Peak,10.0,3.5,Y,None,1.45,4,140.51,R00321,None
FM101682,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:40:59,7,Weekend,Non-Peak,10.0,4.09,Y,None,3.28,2,614.09,R00609,None
FM102583,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 07:43:02,7,Weekend,Non-Peak,10.0,3.5,Y,None,1.37,4,355.17,R00913,None
FM100483,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:43:06,7,Weekend,Non-Peak,10.0,4.03,Y,None,2.59,3,81.4,R00209,None
FM100376,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 07:45:53,7,Weekend,Non-Peak,10.0,8.25,Y,None,1.1,8,164.6,R00206,None
FM101486,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:47:05,7,Weekend,Non-Peak,10.0,3.5,Y,None,3.05,2,872.55,R00518,None
FM101216,DS004,Delhi,Rohini,2025-06-01,2025-06-01 07:47:38,7,Weekend,Non-Peak,10.0,5.25,Y,None,1.44,4,241.51,R00408,None
FM100243,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 07:48:42,7,Weekend,Non-Peak,10.0,7.54,Y,None,0.64,5,778.15,R00118,None
FM101735,DS006,Mumbai,Powai,2025-06-01,2025-06-01 07:50:37,7,Weekend,Non-Peak,10.0,6.06,Y,None,1.22,4,242.53,R00611,None
FM100071,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 07:52:56,7,Weekend,Non-Peak,10.0,4.88,Y,None,2.82,1,278.08,R00107,None
FM102131,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 07:53:38,7,Weekend,Non-Peak,10.0,6.79,Y,None,1.46,4,285.02,R00701,None
FM102594,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 07:53:45,7,Weekend,Non-Peak,10.0,8.19,Y,None,2.91,11,377.05,R00910,None
FM101401,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 07:53:57,7,Weekend,Non-Peak,10.0,3.81,Y,None,2.12,4,332.09,R00510,None
FM102144,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:56:50,7,Weekend,Non-Peak,10.0,4.2,Y,None,1.24,1,311.5,R00808,None
FM102360,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 07:58:15,7,Weekend,Non-Peak,10.0,4.09,Y,None,0.45,1,408.21,R00816,None
FM102628,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 07:59:30,7,Weekend,Non-Peak,10.0,6.25,Y,None,2.97,1,335.79,R00901,None
FM100682,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:00:28,8,Weekend,Peak,10.0,12.32,N,Inventory Mismatch / Stockout,1.57,2,355.35,R00303,Material
FM102143,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:00:55,8,Weekend,Peak,10.0,16.21,N,Packing Station Bottleneck,2.93,7,387.32,R00807,Method
FM102377,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:02:19,8,Weekend,Peak,10.0,11.04,N,Rider Unavailable at Dispatch,0.86,4,330.55,R00802,Man
FM100366,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:03:12,8,Weekend,Peak,10.0,8.67,Y,None,1.88,2,323.75,R00208,None
FM100623,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:03:12,8,Weekend,Peak,10.0,10.54,N,Rider Unavailable at Dispatch,2.49,6,505.96,R00318,Man
FM100907,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:04:14,8,Weekend,Peak,10.0,11.01,N,Picker Unavailable / Understaffed,1.51,2,201.42,R00309,Man
FM101324,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 08:05:18,8,Weekend,Peak,10.0,13.61,N,Packing Station Bottleneck,2.21,3,224.74,R00519,Method
FM101522,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 08:05:47,8,Weekend,Peak,10.0,18.32,N,Picker Unavailable / Understaffed,1.72,6,505.51,R00509,Man
FM102136,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:06:59,8,Weekend,Peak,10.0,8.33,Y,None,2.75,5,312.94,R00708,None
FM100055,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:07:23,8,Weekend,Peak,10.0,10.82,N,Picker Unavailable / Understaffed,3.07,1,155.82,R00115,Man
FM100457,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:07:48,8,Weekend,Peak,10.0,5.83,Y,None,1.54,3,351.97,R00207,None
FM100522,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:08:27,8,Weekend,Peak,10.0,8.34,Y,None,2.3,3,474.51,R00216,None
FM100700,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:09:25,8,Weekend,Peak,10.0,5.53,Y,None,1.32,4,298.92,R00320,None
FM100298,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:09:33,8,Weekend,Peak,10.0,12.81,N,"Incorrect Picking (SKU error, re-pick)",3.24,1,183.87,R00109,Method
FM101091,DS004,Delhi,Rohini,2025-06-01,2025-06-01 08:09:40,8,Weekend,Peak,10.0,4.83,Y,None,3.27,6,290.91,R00411,None
FM100258,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:10:04,8,Weekend,Peak,10.0,10.07,N,Rider Unavailable at Dispatch,1.82,5,220.3,R00113,Man
FM101683,DS006,Mumbai,Powai,2025-06-01,2025-06-01 08:10:46,8,Weekend,Peak,10.0,13.54,N,Picker Unavailable / Understaffed,2.5,4,232.83,R00619,Man
FM102565,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 08:11:15,8,Weekend,Peak,10.0,11.27,N,Packing Station Bottleneck,3.44,2,328.85,R00905,Method
FM102062,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:11:38,8,Weekend,Peak,10.0,5.13,Y,None,2.56,5,556.76,R00708,None
FM102969,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 08:13:06,8,Weekend,Peak,10.0,6.09,Y,None,3.45,2,378.48,R01010,None
FM101372,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 08:13:10,8,Weekend,Peak,10.0,11.69,N,Packing Station Bottleneck,3.04,2,676.68,R00519,Method
FM102878,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 08:13:52,8,Weekend,Peak,10.0,6.29,Y,None,2.23,5,161.44,R01005,None
FM102169,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:14:06,8,Weekend,Peak,10.0,5.15,Y,None,3.07,4,201.46,R00815,None
FM102505,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 08:14:43,8,Weekend,Peak,10.0,15.31,N,Packing Station Bottleneck,2.39,3,135.55,R00917,Method
FM102047,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:14:50,8,Weekend,Peak,10.0,8.52,Y,None,0.6,1,502.1,R00701,None
FM101394,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 08:15:35,8,Weekend,Peak,10.0,6.97,Y,None,2.71,3,435.27,R00506,None
FM102304,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:15:55,8,Weekend,Peak,10.0,10.05,N,Rider Unavailable at Dispatch,2.47,3,396.3,R00819,Man
FM101880,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:16:09,8,Weekend,Peak,10.0,12.13,N,Rider Unavailable at Dispatch,3.05,3,299.98,R00715,Man
FM100871,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:16:21,8,Weekend,Peak,10.0,9.62,Y,None,3.12,3,544.13,R00321,None
FM101843,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:16:53,8,Weekend,Peak,10.0,12.01,N,Picker Unavailable / Understaffed,2.61,7,437.16,R00713,Man
FM100189,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:17:11,8,Weekend,Peak,10.0,7.73,Y,None,1.65,3,410.45,R00122,None
FM100041,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:17:14,8,Weekend,Peak,10.0,14.6,N,Rider Unavailable at Dispatch,2.28,4,463.28,R00113,Man
FM100905,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:17:32,8,Weekend,Peak,10.0,7.37,Y,None,2.6,2,261.42,R00307,None
FM100284,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:18:03,8,Weekend,Peak,10.0,4.19,Y,None,2.02,2,352.7,R00104,None
FM102636,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 08:18:24,8,Weekend,Peak,10.0,3.5,Y,None,3.04,3,542.67,R00915,None
FM102278,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:18:30,8,Weekend,Peak,10.0,13.42,N,Picker Unavailable / Understaffed,3.29,4,294.04,R00818,Man
FM100676,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:19:25,8,Weekend,Peak,10.0,10.09,N,App/Order Routing Glitch,2.4,7,448.8,R00303,Machine
FM102164,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:20:03,8,Weekend,Peak,10.0,12.64,N,Rider Unavailable at Dispatch,2.41,4,473.1,R00818,Man
FM102830,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 08:21:07,8,Weekend,Peak,10.0,11.85,N,Rider Unavailable at Dispatch,1.03,2,1003.5,R01017,Man
FM102985,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 08:22:15,8,Weekend,Peak,10.0,8.83,Y,None,2.43,4,668.97,R01016,None
FM100472,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:22:30,8,Weekend,Peak,10.0,5.57,Y,None,0.99,3,363.27,R00212,None
FM100028,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:22:31,8,Weekend,Peak,10.0,9.28,Y,None,1.24,4,396.86,R00106,None
FM102500,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 08:22:36,8,Weekend,Peak,10.0,4.02,Y,None,2.73,1,259.46,R00902,None
FM101331,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 08:23:30,8,Weekend,Peak,10.0,11.83,N,Picker Unavailable / Understaffed,3.22,8,868.1,R00510,Man
FM102182,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:23:40,8,Weekend,Peak,10.0,5.53,Y,None,2.38,8,311.74,R00819,None
FM100005,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:24:51,8,Weekend,Peak,10.0,7.95,Y,None,3.15,3,214.62,R00113,None
FM101609,DS006,Mumbai,Powai,2025-06-01,2025-06-01 08:25:17,8,Weekend,Peak,10.0,9.1,Y,None,3.14,6,490.22,R00602,None
FM100221,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:25:25,8,Weekend,Peak,10.0,7.61,Y,None,1.03,5,223.92,R00111,None
FM102327,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:25:30,8,Weekend,Peak,10.0,13.07,N,Rider Unavailable at Dispatch,2.44,6,892.82,R00816,Man
FM102123,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:25:33,8,Weekend,Peak,10.0,5.92,Y,None,0.92,1,384.22,R00703,None
FM100458,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:26:40,8,Weekend,Peak,10.0,6.86,Y,None,1.81,6,143.17,R00211,None
FM100108,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:26:53,8,Weekend,Peak,10.0,7.17,Y,None,3.03,6,385.09,R00109,None
FM102134,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:26:57,8,Weekend,Peak,10.0,8.38,Y,None,1.87,6,196.74,R00713,None
FM100989,DS004,Delhi,Rohini,2025-06-01,2025-06-01 08:28:04,8,Weekend,Peak,10.0,8.74,Y,None,3.33,6,290.75,R00412,None
FM100317,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:29:19,8,Weekend,Peak,10.0,11.7,N,Packing Station Bottleneck,0.75,5,402.86,R00214,Method
FM102900,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 08:30:17,8,Weekend,Peak,10.0,4.54,Y,None,2.9,5,163.5,R01002,None
FM100353,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:30:47,8,Weekend,Peak,10.0,8.98,Y,None,2.05,6,311.3,R00201,None
FM100546,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:30:52,8,Weekend,Peak,10.0,15.64,N,Inventory Mismatch / Stockout,1.18,5,303.41,R00210,Material
FM100200,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:31:31,8,Weekend,Peak,10.0,5.38,Y,None,0.5,6,325.37,R00122,None
FM101841,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:31:52,8,Weekend,Peak,10.0,13.64,N,Handheld Scanner Downtime,3.35,4,254.96,R00713,Machine
FM102340,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 08:31:54,8,Weekend,Peak,10.0,5.23,Y,None,3.23,4,293.6,R00818,None
FM100757,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:32:10,8,Weekend,Peak,10.0,14.11,N,Packing Station Bottleneck,3.02,2,180.57,R00308,Method
FM101854,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:32:18,8,Weekend,Peak,10.0,12.16,N,Traffic / Road Congestion,3.2,3,338.08,R00701,Environment
FM101801,DS006,Mumbai,Powai,2025-06-01,2025-06-01 08:32:19,8,Weekend,Peak,10.0,8.75,Y,None,2.73,4,427.01,R00613,None
FM100326,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:32:41,8,Weekend,Peak,10.0,9.98,Y,None,2.44,4,131.22,R00216,None
FM101231,DS004,Delhi,Rohini,2025-06-01,2025-06-01 08:33:45,8,Weekend,Peak,10.0,11.19,N,Packing Station Bottleneck,1.09,4,768.74,R00404,Method
FM101856,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:34:34,8,Weekend,Peak,10.0,11.09,N,Inventory Mismatch / Stockout,1.55,5,393.18,R00707,Material
FM102646,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 08:34:38,8,Weekend,Peak,10.0,7.86,Y,None,2.36,6,305.9,R00914,None
FM100076,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:34:54,8,Weekend,Peak,10.0,7.61,Y,None,1.67,2,169.86,R00120,None
FM100932,DS003,Delhi,Saket,2025-06-01,2025-06-01 08:35:14,8,Weekend,Peak,10.0,6.35,Y,None,2.35,3,658.05,R00316,None
FM100574,DS002,Bengaluru,Whitefield,2025-06-01,2025-06-01 08:35:20,8,Weekend,Peak,10.0,9.45,Y,None,2.16,2,170.23,R00203,None
FM100031,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 08:36:43,8,Weekend,Peak,10.0,7.67,Y,None,2.55,5,678.94,R00110,None
FM101913,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 08:37:24,8,Weekend,Peak,10.0,4.65,Y,None,3.15,5,78.9,R00703,None
